text,label
Health experts say there is evidence vitamin D is effective in preventing novel coronavirus infection,neg
The claim that neem leaves can cure the new coronavirus and alleviate its symptoms is not supported.,neg
COVID-19 is not part of a pattern in which viral outbreaks occur every 100 years.,pos
Chloroquine has been approved as a treatment for VIDOC-19,neg
there is no evidence from the current outbreak that eating garlic has protected people from the new coronavirus.,pos
"A US government funded study published on March 17, 2020 in theÊNew England Journal of MedicineÊfound that the virus that causes the COVID-19 disease had similar levels of viability outside the body to its predecessor that caused SARS.",pos
US DemocratsÊdid vote for legislation to combat the novel coronavirus crisis.,pos
A Facebook post shared thousands of times claims seven children died in Senegal after being given a COVID-19 vaccine,neg
consuming boiled ginger can cure novel coronavirus infections,neg
"As of April 17, more than 151,000 people worldwide have died of COVID-19, the highly infectious respiratory disease caused by the coronavirus.",pos
"Her Majesty the Queen of England has tested positive for the coronavirus, although she (sic) shows (sic) no symptoms of weakness at the moment, as we are told she is in good condition,"" the article reads.",neg
"The new coronavirus (2019-nCoV) is a virus and, therefore, antibiotics should not be used as a means of prevention or treatment.",pos
Spraying alcohol or chlorine all over your body will not kill viruses that have already entered your body.,pos
- An old Indian textbook does not list treatments for COVID-19. More here.,pos
- India has not outlawed social media posts about COVID-19. More here.,pos
"Doctors say Chinese herbal remedy ""inhibits"" new coronavirus after Chinese media praise it",neg
Consumers cannot claim a free case of baby formula if they call the relevant manufacturer.,pos
"COVID-19 is not projected to kill up to 45 million people inÊNigeria, as claimed in a WhatsApp message.Ê",pos
"People can also be infected by touching a contaminated surface and then their eyes, mouth or nose.Ê",pos
A taxi driver in Nigeria did not threaten to spread the novel coronavirus all over the country.,pos
"In more severe cases, it can lead to pneumonia, multiple organ failure and even death.",pos
"certain patients may have little to no symptoms, and people may not know if they have symptoms of the virus Òbecause they are similar to a cold or a flu",pos
coronavirus is not a genetic weapon made by the US government.,pos
"Doctors have not projected that 11 million people quarantined in Wuhan, China will die from the novel coronavirus",pos
- Claims circulated on US social media outlining Canada's purported response to the coronavirus outbreak are misleading.,pos
"To date, there is no specific medicine recommended to prevent or treat the new coronavirus (2019-nCoV).",pos
- Graphic doctored that quoted Philippine President Rodrigo Duterte saying that COVID-19 support payments have been competed. More here.,pos
people with negative results might actually have the virus,pos
"Singapore General HospitalÊwill temporarily use its car park to test suspected COVID-19 patients, not as a ward.",pos
Health experts claims that drinking boiled garlic water cures novel coronavirus,neg
"Êif you are hospitalized for the 2019-nCoV, you may receive antibiotics because bacterial co-infection is possible.",pos
ÊPakistani officials  issued warning over dangers of eating goat meat,neg
"WHO chief characterised COVID-19 as a pandemic and expressed concern over the ""alarming levelsÊof spread and severity, and by the alarming levels of inaction"".",pos
China-made Holi festival goods are not infected with the novel coronavirus.,pos
"The laboratory was secretly working for the Chinese military in the manufacture of biological weapons, and the virus escaped unintentionally in the process.",neg
Health experts in Sri Lanka say new coronavirus can be treated with herbal medicines,neg
The blood sample will undergo a new test that identifies COVID-19 antibodies in the blood,pos
Nigerian health authorityÊdenouncesÊfake social media accountsÊthat have sprung up during the coronavirus pandemic.,pos
Viruses cannot travel on radio waves/mobile networks.COVID-19 is spreading in many countries that do not have 5G mobile networks.,pos
Sri Lankan health experts point out that there is evidence that cannabis boosts immunity to the new coronavirus,neg
Scientists have pointed to either bats or snakes as possible sources of the virus.,pos
A claim that neem leaves can cure the novel coronavirus and relieve its symptoms,neg
"ÊIconic coffee chain Tim HortonsÊwill not close allÊCanadaÊfranchises because of the novel coronavirus. Drive-throughs remain open (as os March 30, 2020).Ê",pos
Health experts in Sri Lanka claims of herbal cure for novel coronavirus,neg
The coronavirus is a genetic weapon manufactured by the U.S. government.,neg
limit surface touched,pos
Uganda's president did not postpone elections because of coronavirus.,pos
